image_path,true_idx,pred_idx,true_label,pred_label,true_label_desc,pred_label_desc
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240529_130744883_SC_0.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240529_130744883_SC_1.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240530_110007824_SC_4.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240604_085843315_SC_2.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240604_090430132_SC_11.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240606_083459921_SC_3.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240606_090917441_SC_12.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240606_090917441_SC_9.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240606_090931214_SC_17.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240606_091113530_SC_4.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240607_112006574_SC_3.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240607_112147089_SC_2.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240607_112147089_SC_5.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240607_112147089_SC_6.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240610_094149899_SC_0.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240612_113428678_SC_9.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240612_123821228_SC_6.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240612_123934830_SC_2.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240612_123934830_SC_4.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240612_124058186_SC_4.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240712_133610371_SC_0.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
/home/naiken/coding/adlis/classification_dataset_v2/test/SC/Image_20240719_133337936_SC_2.jpg,0,1,SC,SN,ring sideroblasts,erythroblasts
